首字母,等级,文件名,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1256,77,0,A - 二三轨滑键,A - 二轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1257,77,2,A - 四轨单点,A - 四轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1258,77,4,A - 二轨单点,A - 二三轨滑键,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1259,77,6,A - 四轨单点,A - 四轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1260,77,8,A - 二轨单点,A - 二轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1261,77,10,A - 四轨单点,A - 四轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1262,77,12,A - 二三轨滑键,A - 二轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1263,77,14,A - 四轨单点,A - 四轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1264,77,16,A - 二轨单点,A - 二三轨滑键,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,爆气,分开,二爆,1265,77,18,A - 四轨单点,A - 四轨单点,4753827,158 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1256,77,0,A - 二三轨滑键,A - 二三轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1257,77,2,A - 四轨单点,A - 四轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1258,77,4,A - 二轨单点,A - 二轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1259,77,6,A - 四轨单点,A - 四轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1260,77,8,A - 二轨单点,A - 二轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1261,77,10,A - 四轨单点,A - 四轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1262,77,12,A - 二三轨滑键,A - 二三轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1263,77,14,A - 四轨单点,A - 四轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1264,77,16,A - 二轨单点,A - 二轨单点,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,一爆,561,37,0,A - 三四轨滑键,A - 三四轨滑键,4775043,162 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 187.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",押爆,爆气,分开,二爆,1265,77,18,A - 四轨单点,A - 四轨单点,4775043,162 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,800,107,6,A - 一轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,801,107,9,A - 三轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,802,107,12,A - 五轨单点,A - 一轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,803,107,15,A - 二轨单点,A - 一轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,804,107,18,A - 四轨单点,A - 三轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,805,107,21,A - 三轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,693,95,6,A - 二轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,806,107,24,A - 四轨单点,A - 五轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,694,95,9,A - 四轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,800,107,6,A - 一轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,694,95,9,A - 四轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,801,107,9,A - 三轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,694,95,9,A - 四轨单点,A - 四轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,802,107,12,A - 五轨单点,A - 一轨单点,2820584,101 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,693,95,5,A - 二轨单点,A - 四轨单点,2831192,103 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,800,107,5,A - 一轨单点,A - 四轨单点,2831192,103 + 0.0
,,Beethoven Virus 5k节奏转谱 234.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,693,95,5,A - 二轨单点,A - 四轨单点,2831192,103 + 0.0
